,,,年平均気温,最高気温（日最高気温の月平均の最高値）
2019,R01000,北海道,9.8,26.5
2018,R01000,北海道,9.5,25.7
2017,R01000,北海道,9.1,27.7
2016,R01000,北海道,9.3,28.3
2015,R01000,北海道,10,26.4
2014,R01000,北海道,9.3,27
2013,R01000,北海道,9.2,27.1
2012,R01000,北海道,9.3,27.2
2011,R01000,北海道,9.3,27.9
2010,R01000,北海道,9.8,29.1
2009,R01000,北海道,9.4,25.3
2008,R01000,北海道,9.5,25.7
2019,R02000,青森県,11.4,29.8
2018,R02000,青森県,11,27.4
2017,R02000,青森県,10.7,28.6
2016,R02000,青森県,11,28.7
2015,R02000,青森県,11.5,27.9
2014,R02000,青森県,10.7,27.8
2013,R02000,青森県,10.5,29.3
2012,R02000,青森県,10.5,29.6
2011,R02000,青森県,10.6,28.4
2010,R02000,青森県,11.1,30.6
2009,R02000,青森県,10.6,26
2008,R02000,青森県,10.7,25.8
2019,R03000,岩手県,11.3,30.5
2018,R03000,岩手県,11,29.4
2017,R03000,岩手県,10.6,29.2
2016,R03000,岩手県,11.2,30.5
2015,R03000,岩手県,11.6,29.3
2014,R03000,岩手県,10.6,28.8
2013,R03000,岩手県,10.6,29.4
2012,R03000,岩手県,10.8,32
2011,R03000,岩手県,10.5,29.5
2010,R03000,岩手県,11,31.4
2009,R03000,岩手県,10.6,27.1
2008,R03000,岩手県,10.6,27.5
2019,R04000,宮城県,13.6,30
2018,R04000,宮城県,13.6,29.7
2017,R04000,宮城県,12.9,29.3
2016,R04000,宮城県,13.5,29.9
2015,R04000,宮城県,13.7,29
2014,R04000,宮城県,12.8,28.6
2013,R04000,宮城県,12.7,30
2012,R04000,宮城県,12.6,30.8
2011,R04000,宮城県,12.9,29
2010,R04000,宮城県,13.2,31.4
2009,R04000,宮城県,12.9,26.5
2008,R04000,宮城県,12.7,26.7
2019,R05000,秋田県,12.9,30.5
2018,R05000,秋田県,12.3,29.2
2017,R05000,秋田県,11.9,29.1
2016,R05000,秋田県,12.5,31.4
2015,R05000,秋田県,12.7,29
2014,R05000,秋田県,12,28.7
2013,R05000,秋田県,11.9,29.3
2012,R05000,秋田県,12.1,31.3
2011,R05000,秋田県,11.8,29.5
2010,R05000,秋田県,12.3,31.2
2009,R05000,秋田県,12,27.8
2008,R05000,秋田県,12.3,28.2
2019,R06000,山形県,12.8,32
2018,R06000,山形県,12.6,32.8
2017,R06000,山形県,11.9,30.7
2016,R06000,山形県,12.7,31.4
2015,R06000,山形県,12.7,31
2014,R06000,山形県,11.8,30.2
2013,R06000,山形県,11.9,31.2
2012,R06000,山形県,11.8,33.6
2011,R06000,山形県,11.8,30.9
2010,R06000,山形県,12.5,33.6
2009,R06000,山形県,12.1,28.5
2008,R06000,山形県,12,29.8
2019,R07000,福島県,14,32.2
2018,R07000,福島県,14.2,33.4
2017,R07000,福島県,13.4,31.4
2016,R07000,福島県,14.2,31.6
2015,R07000,福島県,14.2,31.4
2014,R07000,福島県,13.3,30.5
2013,R07000,福島県,13.4,32.2
2012,R07000,福島県,13.2,34.2
2011,R07000,福島県,13.3,31.1
2010,R07000,福島県,13.8,34.1
2009,R07000,福島県,13.5,29
2008,R07000,福島県,13.2,29.7
2019,R08000,茨城県,14.9,31.5
2018,R08000,茨城県,15.3,31.9
2017,R08000,茨城県,14.2,30.8
2016,R08000,茨城県,14.8,30.5
2015,R08000,茨城県,14.8,29.5
2014,R08000,茨城県,14.2,30.3
2013,R08000,茨城県,14.3,31.3
2012,R08000,茨城県,13.9,31.8
2011,R08000,茨城県,14.1,30.2
2010,R08000,茨城県,14.5,32.6
2009,R08000,茨城県,14.2,28.6
2008,R08000,茨城県,13.9,28.8
2019,R09000,栃木県,14.9,32.4
2018,R09000,栃木県,15.2,32.8
2017,R09000,栃木県,14.1,31.2
2016,R09000,栃木県,14.8,31.4
2015,R09000,栃木県,14.9,30.3
2014,R09000,栃木県,14.2,30.7
2013,R09000,栃木県,14.4,32.1
2012,R09000,栃木県,14,33.1
2011,R09000,栃木県,14.2,31.1
2010,R09000,栃木県,14.8,33.2
2009,R09000,栃木県,14.6,29.6
2008,R09000,栃木県,14.3,30.3
2019,R10000,群馬県,15.7,33.3
2018,R10000,群馬県,16.1,33.9
2017,R10000,群馬県,14.9,32
2016,R10000,群馬県,15.6,31.5
2015,R10000,群馬県,15.6,31.2
2014,R10000,群馬県,14.9,31.2
2013,R10000,群馬県,15.2,33.5
2012,R10000,群馬県,14.7,34.3
2011,R10000,群馬県,14.9,32.4
2010,R10000,群馬県,15.5,34.1
2009,R10000,群馬県,15.1,30.4
2008,R10000,群馬県,14.9,31.5
2019,R11000,埼玉県,16.1,33.6
2018,R11000,埼玉県,16.4,34.5
2017,R11000,埼玉県,15.4,32.8
